operation,occupancy
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,99
101,98
102,97
103,96
104,95
105,94
106,93
107,92
108,91
109,90
110,89
111,88
112,87
113,86
114,85
115,86
116,86
117,87
118,88
119,89
120,90
121,91
122,90
123,89
124,88
125,87
126,86
127,87
128,87
129,88
130,88
131,88
132,89
133,90
134,90
135,91
136,92
137,91
138,92
139,93
140,94
141,94
142,94
143,95
144,96
145,97
146,98
147,98
148,98
149,99
150,100
151,100
152,99
153,98
154,97
155,96
156,95
157,94
158,93
159,92
160,91
161,92
162,92
163,93
164,92
165,92
166,93
167,94
168,94
169,95
170,96
171,96
172,96
173,96
174,96
175,96
176,98
177,97
178,96
179,96
180,97
181,97
182,97
183,99
184,98
185,97
186,96
187,97
188,96
189,97
190,98
191,99
192,100
193,100
194,99
195,98
196,97
197,96
198,95
199,94
200,93
201,92
202,92
203,93
204,94
205,94
206,96
207,96
208,96
209,97
210,98
211,98
212,97
213,96
214,96
215,97
216,97
217,97
218,97
219,97
220,97
221,98
222,98
223,99
224,99
225,99
226,100
227,100
228,100
229,100
230,100
231,100
232,99
233,98
234,97
235,96
236,95
237,95
238,94
239,95
240,96
241,97
242,96
243,96
244,97
245,97
246,97
247,98
248,99
249,99
250,100
251,100
252,99
253,98
254,97
255,96
256,95
257,95
258,96
259,97
260,97
261,98
262,99
263,99
264,100
265,99
266,100
267,100
268,99
269,98
270,97
271,96
272,97
273,98
274,99
275,100
276,99
277,98
278,97
279,96
280,95
281,94
282,93
283,92
284,91
285,91
286,92
287,93
288,94
289,95
290,96
291,97
292,97
293,98
294,98
295,99
296,100
297,100
298,99
299,98
300,97
301,96
302,95
303,95
304,96
305,96
306,97
307,98
308,98
309,99
310,100
311,100
312,99
313,98
314,97
315,96
316,95
317,94
318,93
319,93
320,94
321,94
322,95
323,96
324,96
325,96
326,98
327,97
328,97
329,96
330,95
331,95
332,95
333,95
334,95
335,95
336,95
337,95
338,95
339,95
340,95
341,95
342,95
343,95
344,95
345,95
346,95
347,96
348,96
349,97
350,97
351,97
352,97
353,98
354,98
355,99
356,100
357,100
358,99
359,98
360,97
361,96
362,95
363,94
364,93
365,92
366,91
367,90
368,89
369,88
370,87
371,87
372,87
373,87
374,88
375,89
376,90
377,90
378,90
379,91
380,91
381,92
382,92
383,93
384,93
385,94
386,95
387,95
388,95
389,96
390,96
391,96
392,96
393,97
394,99
395,99
396,99
397,99
398,100
399,100
400,99
401,98
402,97
403,96
404,95
405,96
406,96
407,97
408,98
409,99
410,100
411,100
412,99
413,98
414,97
415,96
416,95
417,94
418,93
419,93
420,93
421,93
422,94
423,93
424,95
425,94
426,94
427,93
428,94
429,94
430,94
431,95
432,95
433,95
434,95
435,95
436,95
437,95
438,95
439,95
440,95
441,95
442,96
443,97
444,96
445,95
446,96
447,97
448,98
449,98
450,99
451,100
452,100
453,100
454,99
455,98
456,97
457,96
458,95
459,94
460,93
461,94
462,93
463,93
464,94
465,95
466,96
467,97
468,97
469,98
470,99
471,99
472,100
473,100
474,99
475,98
476,97
477,96
478,96
479,97
480,97
481,98
482,99
483,100
484,99
485,99
486,100
487,100
488,99
489,99
490,100
491,100
492,99
493,98
494,97
495,96
496,95
497,95
498,95
499,96
500,97
501,98
502,98
503,99
504,100
505,100
506,99
507,98
508,97
509,96
510,95
511,94
512,94
513,94
514,96
515,95
516,95
517,96
518,96
519,96
520,97
521,97
522,98
523,99
524,99
525,99
526,100
527,100
528,99
529,98
530,97
531,96
532,95
533,94
534,94
535,93
536,93
537,93
538,94
539,94
540,93
541,93
542,94
543,95
544,96
545,96
546,97
547,97
548,98
549,99
550,100
551,99
552,98
553,98
554,98
555,99
556,98
557,99
558,100
559,100
560,99
561,98
562,97
563,96
564,95
565,96
566,96
567,96
568,97
569,98
570,98
571,99
572,100
573,100
574,99
575,98
576,97
577,96
578,95
579,94
580,93
581,93
582,93
583,93
584,94
585,95
586,96
587,96
588,97
589,98
590,98
591,98
592,98
593,99
594,99
595,98
596,97
597,96
598,95
599,94
600,93
601,92
602,91
603,90
604,89
605,89
606,90
607,91
608,92
609,92
610,93
611,94
612,95
613,95
614,96
615,97
616,97
617,98
618,99
619,99
620,100
621,100
622,99
623,99
624,100
625,100
626,100
627,100
628,99
629,100
630,99
631,99
632,99
633,100
634,99
635,99
636,99
637,100
638,99
639,99
640,99
641,99
642,99
643,99
644,100
645,100
646,99
647,98
648,97
649,96
650,95
651,94
652,93
653,92
654,91
655,90
656,90
657,91
658,92
659,93
660,93
661,94
662,94
663,95
664,96
665,95
666,96
667,97
668,98
669,99
670,99
671,100
672,99
673,100
674,100
675,100
676,99
677,100
678,99
679,99
680,100
681,100
682,100
683,100
684,99
685,99
686,100
687,99
688,99
689,99
690,100
691,100
692,99
693,98
694,97
695,96
696,95
697,94
698,93
699,92
700,91
701,91
702,91
703,92
704,92
705,93
706,94
707,95
708,95
709,96
710,97
711,98
712,98
713,99
714,100
715,100
716,99
717,99
718,100
719,100
720,100
721,99
722,99
723,99
724,100
725,100
726,100
727,100
728,99
729,98
730,97
731,96
732,95
733,94
734,93
735,94
736,94
737,95
738,96
739,97
740,98
741,97
742,96
743,95
744,95
745,94
746,94
747,95
748,96
749,95
750,94
751,94
752,94
753,96
754,95
755,95
756,94
757,93
758,94
759,94
760,94
761,95
762,96
763,96
764,96
765,98
766,98
767,97
768,97
769,97
770,97
771,97
772,97
773,96
774,98
775,97
776,98
777,99
778,100
779,100
780,100
781,100
782,99
783,98
784,97
785,96
786,95
787,94
788,94
789,93
790,93
791,93
792,94
793,95
794,96
795,96
796,97
797,98
798,99
799,99
800,100
801,100
802,99
803,99
804,100
805,100
806,99
807,98
808,97
809,96
810,95
811,94
812,94
813,94
814,95
815,95
816,96
817,95
818,94
819,94
820,94
821,95
822,96
823,97
824,98
825,98
826,99
827,100
828,100
829,100
830,99
831,98
832,97
833,96
834,96
835,97
836,98
837,98
838,99
839,100
840,99
841,100
842,100
843,100
844,99
845,99
846,100
847,99
848,99
849,100
850,100
851,100
852,99
853,98
854,97
855,96
856,95
857,94
858,93
859,93
860,94
861,94
862,94
863,93
864,92
865,91
866,92
867,93
868,94
869,95
870,95
871,96
872,96
873,97
874,98
875,99
876,100
877,99
878,98
879,98
880,99
881,99
882,100
883,100
884,99
885,98
886,97
887,96
888,95
889,94
890,93
891,93
892,94
893,94
894,94
895,94
896,95
897,95
898,94
899,93
900,92
901,92
902,93
903,93
904,94
905,95
906,96
907,97
908,98
909,99
910,99
911,98
912,97
913,96
914,95
915,94
916,93
917,92
918,92
919,92
920,92
921,93
922,94
923,94
924,94
925,94
926,94
927,94
928,94
929,95
930,96
931,96
932,97
933,98
934,98
935,99
936,100
937,100
938,99
939,98
940,97
941,96
942,95
943,94
944,94
945,94
946,95
947,94
948,94
949,95
950,96
951,95
952,95
953,95
954,95
955,96
956,96
957,97
958,98
959,98
960,97
961,96
962,96
