N,Np,Nc,run,time
1,1,1,1,2.490483
1,1,1,2,2.331952
1,1,1,3,2.004530
1,1,1,4,2.357214
1,1,1,5,1.761253
1,1,1,6,1.515690
1,1,1,7,1.581312
1,1,1,8,1.559773
1,1,1,9,1.746704
1,1,1,10,2.184333
1,1,2,1,2.305955
1,1,2,2,2.373697
1,1,2,3,2.081007
1,1,2,4,1.928444
1,1,2,5,2.152725
1,1,2,6,1.824991
1,1,2,7,2.017109
1,1,2,8,1.682428
1,1,2,9,1.599615
1,1,2,10,1.677385
1,1,4,1,2.479606
1,1,4,2,2.523751
1,1,4,3,2.769422
1,1,4,4,2.538617
1,1,4,5,2.793117
1,1,4,6,2.183412
1,1,4,7,2.705129
1,1,4,8,2.955132
1,1,4,9,2.313645
1,1,4,10,1.691031
1,1,8,1,1.789329
1,1,8,2,1.733637
1,1,8,3,1.633018
1,1,8,4,1.647615
1,1,8,5,1.746262
1,1,8,6,2.139495
1,1,8,7,2.524026
1,1,8,8,2.283131
1,1,8,9,2.516911
1,1,8,10,2.216007
1,2,1,1,2.178002
1,2,1,2,1.914574
1,2,1,3,1.868844
1,2,1,4,2.132555
1,2,1,5,1.874176
1,2,1,6,2.110856
1,2,1,7,2.816467
1,2,1,8,2.632982
1,2,1,9,2.480707
1,2,1,10,2.350508
1,4,1,1,2.447633
1,4,1,2,2.629302
1,4,1,3,2.312462
1,4,1,4,2.156670
1,4,1,5,1.944585
1,4,1,6,2.508296
1,4,1,7,1.849842
1,4,1,8,1.681983
1,4,1,9,1.627084
1,4,1,10,1.626090
1,8,1,1,1.754171
1,8,1,2,1.833590
1,8,1,3,1.753908
1,8,1,4,1.835006
1,8,1,5,2.625825
1,8,1,6,2.273744
1,8,1,7,2.359064
1,8,1,8,1.938734
1,8,1,9,1.732235
1,8,1,10,1.691339
10,1,1,1,0.180217
10,1,1,2,0.178280
10,1,1,3,0.146596
10,1,1,4,0.146571
10,1,1,5,0.175704
10,1,1,6,0.153413
10,1,1,7,0.178602
10,1,1,8,0.159028
10,1,1,9,0.165312
10,1,1,10,0.187903
10,1,2,1,0.194308
10,1,2,2,0.172399
10,1,2,3,0.191725
10,1,2,4,0.192976
10,1,2,5,0.182771
10,1,2,6,0.175811
10,1,2,7,0.185229
10,1,2,8,0.356731
10,1,2,9,0.162817
10,1,2,10,0.177581
10,1,4,1,0.265597
10,1,4,2,0.247096
10,1,4,3,0.260895
10,1,4,4,0.258171
10,1,4,5,0.240032
10,1,4,6,0.249332
10,1,4,7,0.271460
10,1,4,8,0.257646
10,1,4,9,0.302801
10,1,4,10,0.314172
10,1,8,1,0.362774
10,1,8,2,0.375529
10,1,8,3,0.363599
10,1,8,4,0.446268
10,1,8,5,0.361820
10,1,8,6,0.390959
10,1,8,7,0.362123
10,1,8,8,0.424213
10,1,8,9,0.388047
10,1,8,10,0.407294
10,2,1,1,0.231105
10,2,1,2,0.230048
10,2,1,3,0.239522
10,2,1,4,0.195251
10,2,1,5,0.241698
10,2,1,6,0.273197
10,2,1,7,0.258050
10,2,1,8,0.462942
10,2,1,9,0.221965
10,2,1,10,0.199022
10,4,1,1,0.375141
10,4,1,2,0.323639
10,4,1,3,0.355229
10,4,1,4,0.302547
10,4,1,5,0.321424
10,4,1,6,0.308178
10,4,1,7,0.352537
10,4,1,8,0.340915
10,4,1,9,0.563098
10,4,1,10,0.351012
10,8,1,1,0.491183
10,8,1,2,0.589839
10,8,1,3,0.496249
10,8,1,4,0.494258
10,8,1,5,0.449289
10,8,1,6,0.739155
10,8,1,7,0.374488
10,8,1,8,0.350883
10,8,1,9,0.388447
10,8,1,10,0.415513
100,1,1,1,0.213856
100,1,1,2,0.213712
100,1,1,3,0.213033
100,1,1,4,0.214613
100,1,1,5,0.185718
100,1,1,6,0.188911
100,1,1,7,0.196530
100,1,1,8,0.216104
100,1,1,9,0.207665
100,1,1,10,0.200394
100,1,2,1,0.209890
100,1,2,2,0.167434
100,1,2,3,0.226803
100,1,2,4,0.178077
100,1,2,5,0.207065
100,1,2,6,0.183507
100,1,2,7,0.172084
100,1,2,8,0.207158
100,1,2,9,0.178313
100,1,2,10,0.159506
100,1,4,1,0.288317
100,1,4,2,0.271269
100,1,4,3,0.253274
100,1,4,4,0.256045
100,1,4,5,0.233860
100,1,4,6,0.271662
100,1,4,7,0.229829
100,1,4,8,0.259899
100,1,4,9,0.250109
100,1,4,10,0.251263
100,1,8,1,0.342920
100,1,8,2,0.347536
100,1,8,3,0.355664
100,1,8,4,0.345394
100,1,8,5,0.339838
100,1,8,6,0.339885
100,1,8,7,0.347694
100,1,8,8,0.337689
100,1,8,9,0.340073
100,1,8,10,0.339490
100,2,1,1,0.145804
100,2,1,2,0.159625
100,2,1,3,0.161762
100,2,1,4,0.163814
100,2,1,5,0.160088
100,2,1,6,0.163558
100,2,1,7,0.162509
100,2,1,8,0.162789
100,2,1,9,0.169565
100,2,1,10,0.158028
100,4,1,1,0.221482
100,4,1,2,0.247770
100,4,1,3,0.228479
100,4,1,4,0.239093
100,4,1,5,0.234123
100,4,1,6,0.255347
100,4,1,7,0.247473
100,4,1,8,0.214265
100,4,1,9,0.233519
100,4,1,10,0.216806
100,8,1,1,0.344860
100,8,1,2,0.347163
100,8,1,3,0.348328
100,8,1,4,0.352494
100,8,1,5,0.341967
100,8,1,6,0.342063
100,8,1,7,0.344409
100,8,1,8,0.353733
100,8,1,9,0.359667
100,8,1,10,0.354192
1000,1,1,1,0.143065
1000,1,1,2,0.151050
1000,1,1,3,0.212463
1000,1,1,4,0.163612
1000,1,1,5,0.165394
1000,1,1,6,0.171549
1000,1,1,7,0.167692
1000,1,1,8,0.163269
1000,1,1,9,0.145128
1000,1,1,10,0.156649
1000,1,2,1,0.162026
1000,1,2,2,0.171597
1000,1,2,3,0.190350
1000,1,2,4,0.163881
1000,1,2,5,0.178997
1000,1,2,6,0.205494
1000,1,2,7,0.248233
1000,1,2,8,0.175643
1000,1,2,9,0.155289
1000,1,2,10,0.142016
1000,1,4,1,0.272593
1000,1,4,2,0.254416
1000,1,4,3,0.262283
1000,1,4,4,0.285210
1000,1,4,5,0.286061
1000,1,4,6,0.267241
1000,1,4,7,0.297466
1000,1,4,8,0.275488
1000,1,4,9,0.291215
1000,1,4,10,0.595211
1000,1,8,1,0.382175
1000,1,8,2,0.467717
1000,1,8,3,0.408990
1000,1,8,4,0.390956
1000,1,8,5,0.419674
1000,1,8,6,0.385324
1000,1,8,7,0.416313
1000,1,8,8,0.375221
1000,1,8,9,0.426151
1000,1,8,10,0.361261
1000,2,1,1,0.186206
1000,2,1,2,0.174726
1000,2,1,3,0.173053
1000,2,1,4,0.179208
1000,2,1,5,0.193088
1000,2,1,6,0.200689
1000,2,1,7,0.178386
1000,2,1,8,0.184888
1000,2,1,9,0.205278
1000,2,1,10,0.173747
1000,4,1,1,0.262602
1000,4,1,2,0.288189
1000,4,1,3,0.265610
1000,4,1,4,0.268185
1000,4,1,5,0.278512
1000,4,1,6,0.273814
1000,4,1,7,0.268871
1000,4,1,8,0.279742
1000,4,1,9,0.274126
1000,4,1,10,0.275564
1000,8,1,1,0.407921
1000,8,1,2,0.398448
1000,8,1,3,0.402718
1000,8,1,4,0.396267
1000,8,1,5,0.371842
1000,8,1,6,0.380412
1000,8,1,7,0.427405
1000,8,1,8,0.438136
1000,8,1,9,0.656256
1000,8,1,10,0.476846
